BeetleFly,20,20,512,2,false
BirdChicken,20,20,512,2,false
Coffee,28,28,286,2,false
Wine,54,57,234,2,false
Lightning2,61,60,637,2,true
Herring,64,64,512,2,false
WormsTwoClass,77,181,900,2,false
ECG200,100,100,96,2,false
Ham,105,109,431,2,false
ToeSegmentation2,130,36,343,2,false
Earthquakes,139,322,512,2,false
GunPoint,150,50,150,2,true
ShapeletSim,180,20,500,2,false
ToeSegmentation1,228,40,277,2,false
Computers,250,250,720,2,false
DistalPhalanxOutlineCorrect,276,600,80,2,false
MiddlePhalanxOutlineCorrect,291,600,80,2,false
ProximalPhalanxOutlineCorrect,291,600,80,2,false
Strawberry,370,613,235,2,false
HandOutlines,370,1000,2709,2,true
SonyAIBORobotSurface1,601,20,70,2,true
FordB,810,3636,500,2,false
PhalangesOutlinesCorrect,858,1800,80,2,false
ECGFiveDays,861,23,136,2,true
SonyAIBORobotSurface2,953,27,65,2,true
ItalyPowerDemand,1029,67,24,2,true
TwoLeadECG,1139,23,82,2,true
MoteStrain,1252,20,84,2,true
FordA,1320,3601,500,2,false
Yoga,3000,300,426,2,true
Wafer,6164,1000,152,2,true
Meat,60,60,448,3,false
DistalPhalanxOutlineAgeGroup,139,400,80,3,false
MiddlePhalanxOutlineAgeGroup,154,400,80,3,false
ArrowHead,175,36,251,3,false
ProximalPhalanxOutlineAgeGroup,205,400,80,3,false
LargeKitchenAppliances,375,375,720,3,false
RefrigerationDevices,375,375,720,3,false
ScreenType,375,375,720,3,false
SmallKitchenAppliances,375,375,720,3,false
CBF,900,30,128,3,true
ChlorineConcentration,3840,467,166,3,true
StarlightCurves,8236,1000,1024,3,true
OliveOil,30,30,570,4,false
Car,60,60,577,4,true
FaceFour,88,24,350,4,true
Trace,100,100,275,4,true
DiatomSizeReduction,306,16,345,4,true
CinCECGtorso,1380,40,1639,4,true
TwoPatterns,4000,1000,128,4,true
Beef,30,30,470,5,false
Worms,77,181,900,5,false
Haptics,308,155,1092,5,true
ECG5000,4500,500,140,5,true
DistalPhalanxTW,139,400,80,6,false
MiddlePhalanxTW,154,399,80,6,false
ProximalPhalanxTW,205,400,80,6,false
OSULeaf,242,200,427,6,true
SyntheticControl,300,300,60,6,true
Symbols,995,25,398,6,true
Lightning7,73,70,319,7,true
Plane,105,105,144,7,false
Fish,175,175,463,7,true
InlineSkate,550,100,1882,7,true
ElectricDevices,7711,8926,96,7,false
Mallat,2345,55,1024,8,true
UWaveGestureLibraryX,3582,896,315,8,true
UWaveGestureLibraryY,3582,896,315,8,true
UWaveGestureLibraryZ,3582,896,315,8,true
UWaveGestureLibraryAll,3582,896,945,8,false
MedicalImages,760,381,99,10,true
InsectWingbeatSound,1980,220,256,11,true
CricketX,390,390,300,12,true
CricketY,390,390,300,12,true
CricketZ,390,390,300,12,true
FaceAll,1690,560,131,14,true
FacesUCR,2050,200,131,14,true
SwedishLeaf,625,500,128,15,true
WordSynonyms,638,267,270,25,true
Adiac,391,390,176,37,true
Phoneme,1896,214,1024,39,true
NonInvasiveFatalECGThorax1,1965,1800,750,42,true
NonInvasiveFatalECGThorax2,1965,1800,750,42,true
FiftyWords,455,450,270,50,true
ShapesAll,600,600,512,60,false
