@relation AALTDChallenge5

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute target {1,2,3,4,5,6}

@data
-0.839242,-0.838151,-0.832021,-0.841696,-0.902529,-1.0585,-1.2904,-1.47943,-1.66951,-1.63772,-1.48942,-1.08719,-0.496914,-0.325527,-0.812241,-0.651837,-0.647363,-0.679982,-0.702791,-0.834707,-0.809882,-0.71634,-0.390237,-0.623153,-0.816062,-0.722861,-0.532157,-0.14205,0.163368,0.42021,0.61528,0.68751,0.693191,0.676065,0.634736,0.586883,0.306296,0.0970414,-0.0783159,-0.254961,-0.440673,-0.630637,-0.730317,-0.759711,-0.752121,-0.739009,-0.717695,-0.722251,-0.732514,-0.746059,-0.748141,4
-0.748726,-0.747725,-0.747451,-0.744543,-0.744497,-0.74804,-0.751657,-0.748884,-0.751645,-0.743811,-0.733034,-0.712638,-0.681849,-0.644525,-0.589063,-0.542618,-0.496907,-0.388013,-0.322715,-0.291207,-0.25504,-0.234476,-0.22123,-0.25057,-0.258964,-0.286869,-0.275836,-0.276495,-0.292561,-0.343486,-0.38412,-0.423887,-0.469869,-0.518462,-0.580893,-0.636686,-0.665037,-0.675958,-0.673876,-0.676896,-0.658477,-0.668989,-0.665162,-0.660558,-0.659984,-0.667495,-0.667973,-0.657739,-0.659174,-0.661481,-0.664154,3
-0.573142,-0.568075,-0.575856,-0.574979,-0.568584,-0.568604,-0.546362,-0.522659,-0.527969,-0.536506,-0.516109,-0.471874,-0.409438,-0.340084,-0.258784,-0.242372,-0.202213,-0.15856,-0.168438,-0.197492,-0.205873,-0.233105,-0.278864,-0.317321,-0.349011,-0.422662,-0.463198,-0.555824,-0.574389,-0.5925,-0.582548,-0.572284,-0.587093,-0.576946,-0.587565,-0.588625,-0.590453,-0.591334,-0.590444,-0.593289,-0.591427,-0.590696,-0.598586,-0.592086,-0.593026,-0.59053,-0.587818,-0.590399,-0.594033,-0.588292,-0.59001,3
-0.745504,-0.754527,-0.752949,-0.745575,-0.739412,-0.674986,-0.576256,-0.600065,-0.744179,-1.09011,-1.36953,-1.51807,-1.87217,-1.48316,-1.07002,-0.867168,-0.582677,-0.481553,-0.535156,-0.560636,-0.553603,-0.750425,-0.515701,-0.490996,-0.943521,-0.803225,-0.940694,-0.813065,-0.573844,-0.256968,0.0128175,0.279899,0.460649,0.551386,0.566786,0.617471,0.597535,0.575292,0.498926,0.423424,0.351973,0.149942,-0.0377975,-0.158746,-0.277154,-0.396847,-0.540396,-0.59739,-0.551024,-0.626849,-0.553205,4
-0.76393,-0.762229,-0.765429,-0.762934,-0.753511,-0.765203,-0.758809,-0.727736,-0.688088,-0.688059,-0.7136,-0.717502,-0.729249,-0.717721,-0.71804,-0.714633,-0.745076,-0.765596,-0.78807,-0.804613,-0.822738,-0.836905,-0.84402,-0.835594,-0.831825,-0.834025,-0.831005,-0.835752,-0.833522,-0.81181,-0.781297,-0.821511,-0.858287,-0.888159,-0.833383,-0.803989,-0.768503,-0.752079,-0.758782,-0.779866,-0.791218,-0.799205,-0.839479,-0.812934,-0.81596,-0.830389,-0.825321,-0.83605,-0.849927,-0.839063,-0.841642,3
-0.77583,-0.776499,-0.777495,-0.766594,-0.767239,-0.778033,-0.756707,-0.737017,-0.66338,-0.571754,-0.456907,-0.356374,-0.261866,-0.127297,-0.0106483,0.150592,0.239319,0.312516,0.325898,0.356177,0.350461,0.288907,0.163417,-0.0548497,-0.317916,-0.829871,-0.874595,-0.866625,-0.618561,-0.429631,-0.353996,-0.424291,-0.449993,-0.464422,-0.473732,-0.455103,-0.400919,-0.373517,-0.698419,-0.659645,-0.896372,-1.07045,-1.08493,-0.906917,-0.778689,-0.696853,-0.675032,-0.673083,-0.670013,-0.698723,-0.715998,5
-0.254602,-0.246883,-0.252635,-0.235782,-0.13363,0.0512428,0.0784239,0.274688,0.335957,0.390646,0.477518,0.512204,0.438418,0.425455,0.392264,0.396094,0.376022,0.372187,0.3502,0.325217,0.322265,0.293833,0.342957,0.375384,0.419035,0.425359,0.400666,0.377084,0.295663,0.236291,0.152371,0.163499,0.163643,0.135391,0.0398453,-0.0997674,-0.0926225,-0.186527,-0.207504,-0.213423,-0.213375,-0.210761,-0.181256,-0.213764,-0.206785,-0.222643,-0.214863,-0.169845,-0.20958,-0.202703,-0.201438,1
-0.85478,-0.859827,-0.858644,-0.860666,-0.851682,-0.858784,-0.861011,-0.850621,-0.858394,-0.851207,-0.86459,-0.950079,-1.06716,-1.24008,-1.4012,-1.50533,-1.57674,-1.16437,-1.15541,-0.831209,-0.488547,-0.322202,-0.246872,-0.292028,-0.413238,-0.242983,-0.328491,-0.549286,-0.279136,-0.497227,-0.634282,-0.676458,-0.94932,-1.35844,-1.45495,-1.29281,-1.03119,-0.838987,-0.787342,-0.780378,-0.777971,-0.784472,-0.795662,-0.795706,-0.79225,-0.797475,-0.79381,-0.794754,-0.797295,-0.792359,-0.794954,6
-0.65191,-0.648583,-0.654109,-0.637935,-0.636318,-0.642861,-0.658522,-0.652827,-0.632942,-0.694892,-0.806645,-0.863673,-0.902215,-0.93827,-0.889236,-0.847931,-0.807594,-0.777482,-0.766683,-0.77244,-0.774177,-0.783266,-0.791085,-0.801983,-0.802787,-0.8002,-0.804568,-0.808236,-0.8167,-0.822769,-0.885928,-0.930312,-0.927129,-0.883711,-0.826858,-0.734278,-0.683725,-0.648534,-0.681072,-0.748305,-0.768889,-0.821808,-0.736975,-0.725397,-0.738413,-0.771474,-0.791341,-0.808684,-0.832777,-0.85515,-0.792697,3
-0.635912,-0.621899,-0.621554,-0.625619,-0.619283,-0.619271,-0.617479,-0.61541,-0.647822,-0.647389,-0.646156,-0.636464,-0.645897,-0.639578,-0.63768,-0.646156,-0.640651,-0.685575,-0.740423,-0.720092,-0.66477,-0.582986,-0.489995,-0.440618,-0.409082,-0.384887,-0.349305,-0.35319,-0.366466,-0.364434,-0.370662,-0.378248,-0.407734,-0.449499,-0.43768,-0.453495,-0.494528,-0.516038,-0.594953,-0.683419,-0.662834,-0.641104,-0.604506,-0.547033,-0.57008,-0.588155,-0.599337,-0.581078,-0.567094,-0.57008,-0.571789,2
